Source_ID,Target_ID,Relationship,Weight,Shape
212,214,Trayectoria probable,0.5,cambiante
213,214,Trayectoria probable,0.5,cambiante
213,215,Trayectoria probable,0.5,cambiante
214,215,Trayectoria probable,0.5,cambiante
216,217,Trayectoria probable,0.5,cambiante
217,218,Trayectoria probable,0.5,cambiante
229,230,Trayectoria probable,0.5,cambiante
230,231,Trayectoria probable,0.5,cambiante
232,233,Trayectoria probable,0.5,cambiante
233,234,Trayectoria probable,0.5,cambiante
234,235,Trayectoria probable,0.5,cambiante
236,237,Trayectoria probable,0.5,cambiante
239,240,Trayectoria probable,0.5,cambiante
241,242,Trayectoria probable,0.5,cambiante
241,243,Trayectoria probable,0.5,cambiante
241,244,Trayectoria probable,0.5,cambiante
242,243,Trayectoria probable,0.5,cambiante
242,244,Trayectoria probable,0.5,cambiante
243,244,Trayectoria probable,0.5,cambiante
243,245,Trayectoria probable,0.5,cambiante
244,245,Trayectoria probable,0.5,cambiante
245,246,Trayectoria probable,0.5,cambiante
246,247,Trayectoria probable,0.5,cambiante
246,248,Trayectoria probable,0.5,cambiante
247,248,Trayectoria probable,0.5,cambiante
264,265,Trayectoria probable,0.5,cambiante
264,266,Trayectoria probable,0.5,cambiante
264,267,Trayectoria probable,0.5,cambiante
264,268,Trayectoria probable,0.5,cambiante
264,269,Trayectoria probable,0.5,cambiante
264,270,Trayectoria probable,0.5,cambiante
265,266,Trayectoria probable,0.5,cambiante
265,267,Trayectoria probable,0.5,cambiante
265,268,Trayectoria probable,0.5,cambiante
265,269,Trayectoria probable,0.5,cambiante
265,270,Trayectoria probable,0.5,cambiante
266,267,Trayectoria probable,0.5,cambiante
266,268,Trayectoria probable,0.5,cambiante
266,269,Trayectoria probable,0.5,cambiante
266,270,Trayectoria probable,0.5,cambiante
267,268,Trayectoria probable,0.5,cambiante
267,269,Trayectoria probable,0.5,cambiante
267,270,Trayectoria probable,0.5,cambiante
268,269,Trayectoria probable,0.5,cambiante
268,270,Trayectoria probable,0.5,cambiante
269,270,Trayectoria probable,0.5,cambiante
